jdk-11.0.8+10,false,6e4cead158037cb7747ca47416474d4f408c9126be5b96f9befd532e0a762b47,,11.0.8,
jdk-11.0.11+9,false,e99b98f851541202ab64401594901e583b764e368814320eba442095251e78cb,,11.0.11,11 lts
jdk-14.0.1+7,false,9ddf9b35996fbd784a53fff3e0d59920a7d5acf1a82d4c8d70906957ac146cd1,,14.0.1
jdk-14.0.2+12,false,7d5ee7e06909b8a99c0d029f512f67b092597aa5b0e78c109bd59405bbfa74fe,,14.0.2,14
jdk-15+36,false,c198593d1b5188ee3570e2ca33c3bc004aaefbda2c11e68e58ae7296cf5c3982,,15.0
jdk-15.0.1+9,false,61045ecb9434e3320dbc2c597715f9884586b7a18a56d29851b4d4a4d48a2a5e,,15.0.1
jdk-15.0.2+7,false,94f20ca8ea97773571492e622563883b8869438a015d02df6028180dd9acc24d,,15.0.2,15
jdk-16+36,false,2e031cf37018161c9e59b45fa4b98ff2ce4ce9297b824c512989d579a70f8422,588c2bc69e3007663308f3913819edeb552ea186c4069b8b59341d742d98ae38,16.0,
jdk-16.0.1+9,false,7fdda042207efcedd30cd76d6295ed56b9c2e248cb3682c50898a560d4aa1c6f,6a3e93ca05ea9c4062e8086baea68101748c5a1b433c7aac0cac48b4a7a7f2c7,16.0.1,
jdk-16.0.2+7,true,323d6d7474a359a28eff7ddd0df8e65bd61554a8ed12ef42fd9365349e573c2c,85788b1a1f470ca7ddc576028f29abbc3bc3b08f82dd811a3e24371689d7dc0f,16.0.2,16
jdk-17+35,true,6f1335d9a7855159f982dac557420397be9aa85f3f7bc84e111d25871c02c0c7,03321e009cc5955d7dbabc9219434d63a5b390c223c8ecc303eb1741eb9036ef,17.0
jdk-17.0.1+12,true,6ea18c276dcbb8522feeebcfc3a4b5cb7c7e7368ba8590d3326c6c3efc5448b6,da4845987b3348da14338a0620ef7db25870e27670e82baebcc367fa9d17c7de,17.0.1
jdk-17.0.2+8,true,288f34e3ba8a4838605636485d0365ce23e57d5f2f68997ac4c2e4c01967cd48,a07cc09db0e71d06ea388902f8fcea8151b2b9ba51a16f75f9c0a3ac9acbfb61,17.0.2,17 latest
